,id,property_title,host_id,host_name,city,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,nr_reviews_past_year,avail_month,price_range
19130,48848319,Cozy Private Bedroom in East Harlem,247439246,Charlene,Manhattan,East Harlem,40.79470331821496,-73.9420612133548,Private room,41.0,30,0,4,33,0,jan-mar,Low-range product
19131,48848322,Beautiful Furnished East Village Studio Near NYU,380601266,Jeremy,Manhattan,East Village,40.72786,-73.98773,Entire home/apt,140.0,90,9,28,211,3,jul-sep,Mid-range product
19132,48848698,Stunning Alcove Studio on Prime East Village Block,380601266,Jeremy,Manhattan,East Village,40.72757,-73.98685,Entire home/apt,160.0,90,11,28,218,3,jul-sep,Mid-range product
19133,48848891,Perfect Work From Home Studio in East Village NYU,380601266,Jeremy,Manhattan,East Village,40.72759,-73.98681,Entire home/apt,155.0,90,8,28,209,1,jul-sep,Mid-range product
19134,48849201,Spacious Studio in the East Village w/ Huge Desk,380601266,Jeremy,Manhattan,East Village,40.72576,-73.98721,Entire home/apt,160.0,90,6,28,210,2,jul-sep,Mid-range product
19137,48860567,Entire Trendy Loft at Brooklyn Bay,389805358,Avi,Brooklyn,Bath Beach,40.60798,-74.00808,Entire home/apt,300.0,2,191,1,302,43,oct-dec,High range
19138,48867046,Comfortable & Spacious Private Studio Close to NYU,384559808,Best Inns USA,Manhattan,Gramercy,40.7338,-73.98532,Entire home/apt,124.0,120,8,29,335,1,oct-dec,Mid-range product
19139,48871083,"Prospect Park HDTV Room, 21 min to Manhattan #197",3223938,Eugene,Brooklyn,Crown Heights,40.67305,-73.95912,Private room,34.0,30,2,692,307,0,oct-dec,Low-range product
19140,48871242,"Luxury building, gym, laundry, rooftop 5FL #193",3223938,Eugene,Brooklyn,Bushwick,40.68969,-73.91938,Private room,43.0,90,0,692,365,0,oct-dec,Low-range product
19142,48879282,perfect location near all. beautiful condominium,373729963,Safia,Bronx,Parkchester,40.83399,-73.86183,Entire home/apt,70.0,30,18,2,183,1,jul-sep,Low-range product
19145,48886891,"Zen like feeling, positive energy, and quiet.",394305005,Junior,Brooklyn,East Flatbush,40.63776,-73.93062,Entire home/apt,115.0,30,92,1,89,15,jan-mar,Mid-range product
19147,48891112,Sunny private unit 5 blocks to Central Park!,80262218,Laila,Manhattan,Upper East Side,40.77173,-73.95648,Private room,100.0,90,2,2,364,1,oct-dec,Mid-range product
19148,48891803,Private Room by Columbia U and Central Park,373077389,Edwin,Manhattan,Upper West Side,40.80134897578847,-73.96656002792663,Private room,60.0,30,47,1,290,5,oct-dec,Low-range product
19153,48919541,Lux Mccarren Park Apt w/Indoor Pool & Spa,205644,Alexandra,Brooklyn,Williamsburg,40.71907,-73.95506,Entire home/apt,160.0,30,0,1,60,0,jan-mar,Mid-range product
19154,48920995,I ♥ Brooklyn - affordable 2B Near Prospect Park,118248883,Karim,Brooklyn,Prospect-Lefferts Gardens,40.66185,-73.94322,Entire home/apt,150.0,30,98,1,356,12,oct-dec,Mid-range product
19156,48921786,"Travelers stay close to JFK, LGA, Casino",394603762,Mark,Queens,St. Albans,40.70068,-73.75677,Private room,106.0,30,123,3,359,9,oct-dec,Mid-range product
19157,48922519,"1 Bedroom, Private Balcony  W 69th St and Columbus",30045574,Barry,Manhattan,Upper West Side,40.77651,-73.98135,Entire home/apt,160.0,30,9,8,120,0,apr-jun,Mid-range product
19158,48933117,COZY LOFT APT IN TRIBECA,64660747,J.,Manhattan,Tribeca,40.71863,-74.0041,Entire home/apt,199.0,30,5,3,178,2,apr-jun,Mid-range product
19159,48935632,Sonder City Hall Park | Spacious King Studio,219517861,Sonder (NYC),Manhattan,Financial District,40.71061,-74.00759,Entire home/apt,532.0,1,79,87,338,19,oct-dec,High range
19160,48936420,Sonder City Hall Park | One-Bedroom Apartment,219517861,Sonder (NYC),Manhattan,Financial District,40.70903,-74.00982,Entire home/apt,389.0,1,41,87,355,6,oct-dec,High range
19161,48936871,Sonder City Hall Park | Queen Studio Apartment,219517861,Sonder (NYC),Manhattan,Financial District,40.71099,-74.00913,Entire home/apt,489.0,1,157,87,298,45,oct-dec,High range
19162,48938639,Sonder City Hall Park | Accessible Queen Studio,219517861,Sonder (NYC),Manhattan,Financial District,40.71111,-74.00902,Entire home/apt,491.0,1,40,87,350,5,oct-dec,High range
19163,48938894,Sonder City Hall Park | Queen Studio w/ City View,219517861,Sonder (NYC),Manhattan,Financial District,40.71099,-74.00944,Entire home/apt,430.0,1,322,87,316,72,oct-dec,High range
19166,48939444,"🍎 2 bed 1 bath & backyard, 2 stops to Manhattan.",230705060,Tusher,Queens,Long Island City,40.7588,-73.9419,Entire home/apt,299.0,30,58,4,180,5,apr-jun,High range
19167,48941264,Queen Bed With Private Bath LES NYC,33867639,Amiee,Manhattan,Chinatown,40.71384,-73.99488,Private room,158.0,30,1,8,343,0,oct-dec,Mid-range product
19168,48941935,Sonder City Hall Park | King Studio w/ City View,219517861,Sonder (NYC),Manhattan,Financial District,40.70898,-74.0094,Entire home/apt,453.0,1,33,87,337,12,oct-dec,High range
19169,48942328,Private Full Bed in Chinatown NYC,33867639,Amiee,Manhattan,Chinatown,40.71341,-73.99705,Private room,92.0,30,12,8,285,4,oct-dec,Mid-range product
19170,48942624,★ NEWLY RENOVATED STUDIO IN PRIME LOCATION - UES ★,9293730,Inna,Manhattan,Upper East Side,40.770451,-73.955894,Entire home/apt,158.0,30,20,41,319,5,oct-dec,Mid-range product
19171,48942774,Queen Bed With Private Bath Chinatown NYC,33867639,Amiee,Manhattan,Chinatown,40.71375,-73.99521,Private room,158.0,30,114,8,155,18,apr-jun,Mid-range product
19172,48943038,Love ❣️ Brooklyn,278008007,Aeysha B And Blas-Off,Brooklyn,Bushwick,40.68839,-73.91905,Private room,39.0,30,5,5,317,0,oct-dec,Low-range product
19173,48943933,Modern Two-Bedroom Apt close to Manhattan! Candy,87639559,Jemar Ira,Brooklyn,Bedford-Stuyvesant,40.67846,-73.91222,Entire home/apt,380.0,30,21,19,314,2,oct-dec,High range
19174,48944147,Modern Two-Bedroom Apt Close to Manhattan Elegant,87639559,Jemar Ira,Brooklyn,Bedford-Stuyvesant,40.67995,-73.91086,Entire home/apt,410.0,30,12,19,365,2,oct-dec,High range
19176,48950531,Gorgeous renovated 1BR apt with in unit W/D (15),384532776,Nathan,Manhattan,Hell's Kitchen,40.76109,-73.99365,Entire home/apt,175.0,30,0,44,365,0,oct-dec,Mid-range product
19178,48956711,Classy Elegant Apartment steps to Central Park,95303084,David,Manhattan,Upper West Side,40.78826,-73.96969,Entire home/apt,265.0,30,107,9,309,20,oct-dec,High range
19182,48959628,Amazing Brownstone Apartment just off Central Park,95303084,David,Manhattan,Upper West Side,40.78834,-73.96995,Entire home/apt,265.0,30,100,9,261,22,jul-sep,High range
19183,48972837,Sonder Chambers | Superior King Suite,219517861,Sonder (NYC),Manhattan,Midtown,40.76404,-73.97421,Private room,493.0,1,12,87,238,4,jul-sep,High range
19184,48973504,Fully Furnished Cozy Studio for Work/Study in NYC,385129361,Sara M,Manhattan,Upper West Side,40.79596,-73.96328,Entire home/apt,88.0,30,8,32,318,2,oct-dec,Mid-range product
19185,48976390,East Side Urban Oasis 1W,4083654,Santina,Manhattan,Upper East Side,40.77021,-73.95386,Entire home/apt,95.0,30,2,4,278,0,oct-dec,Mid-range product
19186,48978779,private  room，20 min to time square self-check-in,395015552,Lisa,Queens,Forest Hills,40.7221,-73.84459,Private room,48.0,30,40,2,87,8,jan-mar,Low-range product
19187,48981222,Modern Two-Bedroom Apt close to Manhattan! Apple,87639559,Jemar Ira,Brooklyn,Bedford-Stuyvesant,40.67881,-73.91256,Entire home/apt,380.0,30,24,19,339,4,oct-dec,High range
19188,48982479,"Prospect Park HDTV Room, 21 min to Manhattan #194",3223938,Eugene,Brooklyn,Crown Heights,40.67517,-73.95907,Private room,46.0,90,0,692,365,0,oct-dec,Low-range product
19189,48982617,CheKells Cozy 1 Bedroom Unit  RM B - Brooklyn,333256736,CherryAnn,Brooklyn,Canarsie,40.63638,-73.90926,Shared room,90.0,30,56,5,277,7,oct-dec,Mid-range product
19190,48983218,WFH/Comfy Brooklyn Living with Everything You Need,149768346,Masaaki,Brooklyn,Bedford-Stuyvesant,40.67867,-73.9454,Private room,70.0,30,10,8,365,4,oct-dec,Low-range product
19191,48983715,Ideal for WFH/ 20 Min to Manhattan/Yard /Laundry,149768346,Masaaki,Brooklyn,Crown Heights,40.67658,-73.94356,Private room,67.0,30,10,8,271,3,jul-sep,Low-range product
19192,48984579,WFH/ Cozy Brooklyn Room / Laundry / Yard /1G wi-fi,149768346,Masaaki,Brooklyn,Bedford-Stuyvesant,40.67834,-73.94408,Private room,65.0,30,6,8,365,3,oct-dec,Low-range product
19193,48985558,Modern WFH room designed by the owner/architect,149768346,Masaaki,Brooklyn,Crown Heights,40.67657,-73.94488,Private room,64.0,30,2,8,364,2,oct-dec,Low-range product
19194,48989849,Extra Large Studio in the East Village near NYU,380601266,Jeremy,Manhattan,East Village,40.72561,-73.98815,Entire home/apt,140.0,90,7,28,216,1,jul-sep,Mid-range product
19195,48989915,WFH/ Modern  Room w. Lots of Sunshine & Essentials,149768346,Masaaki,Brooklyn,Crown Heights,40.67728,-73.9458,Private room,65.0,30,9,8,350,3,oct-dec,Low-range product
19196,48992874,Brooklyn,272265577,Davis,Brooklyn,Bedford-Stuyvesant,40.6843,-73.93107,Private room,60.0,30,48,1,73,0,jan-mar,Low-range product
19197,48994025,Beautiful 2 bedroom with a large terrace,5259026,Olya,Brooklyn,Greenpoint,40.71998,-73.95488,Entire home/apt,350.0,30,0,2,364,0,oct-dec,High range
19200,48996609,Comfy and cozy Bedstuy home away from home,22462,Joy,Brooklyn,Bedford-Stuyvesant,40.68464,-73.92527,Entire home/apt,70.0,30,69,1,14,10,jan-mar,Low-range product
19201,48996689,Cozy vintage bk loft by Art & Maria (room),126503835,Arty,Brooklyn,Williamsburg,40.71606,-73.96585,Private room,169.0,30,32,3,89,1,jan-mar,Mid-range product
19202,48998267,Fully renovated in 2021/ Ideal for WFH/ Laundry,149768346,Masaaki,Brooklyn,Crown Heights,40.67689,-73.94575,Private room,65.0,30,5,8,364,2,oct-dec,Low-range product
19203,48998414,Spacious Brooklyn Room w. Washer & Dryer /yard/WFH,149768346,Masaaki,Brooklyn,Crown Heights,40.67653,-73.94426,Private room,62.0,30,5,8,298,1,oct-dec,Low-range product
19205,49002584,"Stunning renovated 3 bd, 2 bth self contained fl.",161976329,Chad Antonio,Brooklyn,East New York,40.67103,-73.8784,Entire home/apt,130.0,30,26,2,37,5,jan-mar,Mid-range product
19206,49003714,"Luxury inspired 3BR, 2BA close to transportation",395195732,Troy,Bronx,Longwood,40.82425,-73.89668,Entire home/apt,295.0,30,101,1,365,8,oct-dec,High range
19207,49009747,Convenient Private Room #180 A,305240193,Elena,Manhattan,Upper East Side,40.77658702887262,-73.94694260216338,Private room,136.0,30,0,351,5,0,jan-mar,Mid-range product
19208,49011831,A PIECE OF ITALY! 3 BEDROOM APT IN LITTLE ITALY,228915442,Lu,Manhattan,Little Italy,40.71945,-73.99767,Entire home/apt,797.0,30,8,1,354,3,oct-dec,High range
19209,49013421,TRYP by Wyndham Times Square / Midtown -King Suite,38592279,Vk,Manhattan,Chelsea,40.75279,-73.99508,Private room,296.0,1,14,20,60,4,jan-mar,High range
19210,49014354,Penthouse + Private terrace by Prospect Park #84,3223938,Eugene,Brooklyn,Prospect-Lefferts Gardens,40.65795,-73.95382,Private room,47.0,30,1,692,365,0,oct-dec,Low-range product
19211,49014923,Sweet Park Slope nest-quiet 1 bdrm-nr park & shops,15429555,Anne,Brooklyn,South Slope,40.66383,-73.98145,Entire home/apt,175.0,30,13,1,73,0,jan-mar,Mid-range product
19212,49016783,Lovely 2-bedroom NYC rental unit with bathtub,87639559,Jemar Ira,Brooklyn,Bedford-Stuyvesant,40.67878,-73.91265,Entire home/apt,420.0,30,9,19,178,1,apr-jun,High range
19213,49018761,Welcome to the Cozy haven!,40819710,Yas,Manhattan,Upper East Side,40.77622,-73.95519,Entire home/apt,200.0,30,4,1,89,2,jan-mar,Mid-range product
19214,49019237,Modern Two-Bedroom Apt close to Manhattan Diva,87639559,Jemar Ira,Brooklyn,Bedford-Stuyvesant,40.68044,-73.9109,Entire home/apt,380.0,30,26,19,186,5,jul-sep,High range
19216,49024100,Airbnb Sleep Dajour,349395270,Juliet,Queens,Laurelton,40.68128,-73.73261,Private room,189.0,30,74,1,180,5,apr-jun,Mid-range product
19217,49025068,Private Space 1BR + Bath + Kitchen + Dining + LR,113469347,Donna,Queens,Queens Village,40.71882,-73.75423,Private room,79.0,30,19,2,332,7,oct-dec,Low-range product
19221,49030865,3 Bedroom Apartments w/Backyard Near Highway,139238261,Ilya,Queens,Fresh Meadows,40.735012,-73.789673,Entire home/apt,299.0,5,60,3,118,6,apr-jun,High range
19222,49039026,Charming Suite w/King Bed in Ridgewood,150532585,Altaf,Queens,Ridgewood,40.70332,-73.90116,Private room,220.0,4,51,1,205,12,jul-sep,Mid-range product
19223,49041803,"Luxurious, Fully Furnished One Bedroom Apartment!",9878956,Billy,Manhattan,Midtown,40.75609,-73.96265,Entire home/apt,240.0,30,10,1,247,3,jul-sep,Mid-range product
19224,49041989,"Peaceful place, comfortable, close to the airport.",344029666,Felix,Queens,Corona,40.73623,-73.86243,Private room,47.0,30,158,3,182,16,jul-sep,Low-range product
19225,49042509,"Dream Suite with Queen Bed, Large TV+Office+Gym!",395520753,Manuel,Brooklyn,Bedford-Stuyvesant,40.69056,-73.9328,Private room,125.0,30,32,3,84,4,jan-mar,Mid-range product
19226,49044299,Charming Studio Perfect for Work/Study in NYC,385129361,Sara M,Manhattan,Upper West Side,40.79632,-73.96369,Entire home/apt,37.0,30,6,32,185,2,jul-sep,Low-range product
19227,49044619,Athena's Modern Room near Manhattan,231452775,Maria,Queens,Astoria,40.76596,-73.92276,Private room,92.0,2,121,2,0,35,jan-mar,Mid-range product
19229,49046672,A+ Location Studio (APT Selected at Check-In) #10,348619646,Nomad,Manhattan,Midtown,40.74696,-73.98677,Private room,193.0,1,10,51,6,5,jan-mar,Mid-range product
19233,49053546,Modest Private Room #356 C,305240193,Elena,Manhattan,Upper West Side,40.7991,-73.96137,Private room,137.0,30,0,351,362,0,oct-dec,Mid-range product
19235,49054182,Clean private room in quiet house! Work remotely!,307205588,Farah,Queens,Kew Gardens,40.70588,-73.82962,Private room,140.0,1,7,1,350,5,oct-dec,Mid-range product
19238,49059730,Skylit Midtown Castle Sanctuary,2845,Jennifer,Manhattan,Hell's Kitchen,40.75426,-73.99227,Entire home/apt,240.0,30,3,3,365,0,oct-dec,Mid-range product
19239,49060074,New 2bd with back yard in Crown heights,41573259,Eran,Brooklyn,Crown Heights,40.672,-73.93283,Entire home/apt,175.0,30,66,1,355,1,oct-dec,Mid-range product
19240,49065181,Bushwick BK / Room Queen Bed w TV,81274648,Ming,Brooklyn,Bushwick,40.69945126238092,-73.93036134940853,Private room,47.0,30,12,1,33,5,jan-mar,Low-range product
19242,49072113,Private Room w/shared Kitchen by Barclay Center,395765663,Mi Casa Su Casa,Brooklyn,Prospect-Lefferts Gardens,40.66089,-73.96155,Private room,155.0,30,95,1,179,5,apr-jun,Mid-range product
19243,49074308,Spare room with desk/Apt share. 20 mins to City!,30532557,Eibhlin,Brooklyn,Bedford-Stuyvesant,40.68797,-73.92652,Private room,42.0,30,3,13,277,1,oct-dec,Low-range product
19244,49074726,62-2B Renovated 1BR in Prime Upper East Side,162280872,Urban Furnished,Manhattan,Upper East Side,40.76400375366211,-73.96622467041016,Entire home/apt,212.0,30,1,212,244,0,jul-sep,Mid-range product
19246,49075743,It's Always Sunny in Bed-Stuy!,395798646,Andrew,Brooklyn,Bedford-Stuyvesant,40.67756,-73.90811,Private room,48.0,30,151,2,365,13,oct-dec,Low-range product
19247,49077488,West Village Clubhouse Great for Shoots + Stays,19924780,Ani,Manhattan,West Village,40.73805,-74.00649,Entire home/apt,525.0,30,2,3,325,1,oct-dec,High range
19248,49079603,"With love always, Bedstuy♥️",278008007,Aeysha B And Blas-Off,Brooklyn,Bedford-Stuyvesant,40.68757,-73.91931,Private room,36.0,30,7,5,328,2,oct-dec,Low-range product
19249,49081266,Architectural Digest Featured Home with PARK VIEWS,56373916,Nader And,Manhattan,Flatiron District,40.7419,-73.98887,Entire home/apt,1200.0,30,8,1,254,1,jul-sep,High range
19250,49088129,Lamartine Chelsea 1B,386345949,Lamartine,Manhattan,Chelsea,40.75043,-73.99526,Private room,77.0,1,5,27,175,1,apr-jun,Low-range product
19251,49089324,Lamartine Chelsea 1C,386345949,Lamartine,Manhattan,Chelsea,40.75049,-73.99579,Private room,160.0,1,1,27,194,1,jul-sep,Mid-range product
19252,49089376,Lamartine Chelsea 1D,386345949,Lamartine,Manhattan,Chelsea,40.74845,-73.99715,Private room,183.0,1,0,27,279,0,oct-dec,Mid-range product
19253,49089414,Lamartine Chelsea 2A,386345949,Lamartine,Manhattan,Chelsea,40.74842,-73.99582,Private room,189.0,1,0,27,298,0,oct-dec,Mid-range product
19254,49089488,Lamartine Chelsea 2C,386345949,Lamartine,Manhattan,Chelsea,40.74919,-73.99702,Private room,222.0,1,0,27,352,0,oct-dec,Mid-range product
19255,49089500,Lamartine Chelsea 2D,386345949,Lamartine,Manhattan,Chelsea,40.74876,-73.9972,Private room,179.0,1,0,27,302,0,oct-dec,Mid-range product
19256,49089513,Lamartine Chelsea 2B,386345949,Lamartine,Manhattan,Chelsea,40.7485,-73.99551,Private room,189.0,1,1,27,251,1,jul-sep,Mid-range product
19257,49089574,Lamartine Chelsea 2E,386345949,Lamartine,Manhattan,Chelsea,40.75025,-73.99717,Private room,189.0,1,1,27,275,1,oct-dec,Mid-range product
19258,49089583,Lamartine Chelsea 2F,386345949,Lamartine,Manhattan,Chelsea,40.74896,-73.99523,Private room,160.0,1,0,27,273,0,nan,Mid-range product
19259,49089593,Lamartine Chelsea 2G,386345949,Lamartine,Manhattan,Chelsea,40.7498,-73.99516,Private room,189.0,1,0,27,299,0,oct-dec,Mid-range product
19260,49089605,Lamartine Chelsea 3A,386345949,Lamartine,Manhattan,Chelsea,40.74894,-73.99497,Private room,165.0,1,1,27,287,1,oct-dec,Mid-range product
19261,49089633,Lamartine Chelsea 3D,386345949,Lamartine,Manhattan,Chelsea,40.7486,-73.99652,Private room,189.0,1,0,27,287,0,oct-dec,Mid-range product
19262,49089728,Lamartine Chelsea 3B,386345949,Lamartine,Manhattan,Chelsea,40.74835,-73.99646,Private room,189.0,1,0,27,280,0,oct-dec,Mid-range product
19263,49089734,Lamartine Chelsea 3E,386345949,Lamartine,Manhattan,Chelsea,40.75064,-73.99678,Private room,189.0,1,0,27,288,0,oct-dec,Mid-range product
19264,49089753,Lamartine Chelsea 3F,386345949,Lamartine,Manhattan,Chelsea,40.75055,-73.99647,Private room,189.0,1,0,27,291,0,oct-dec,Mid-range product
19265,49089760,Lamartine Chelsea 4A,386345949,Lamartine,Manhattan,Chelsea,40.75031,-73.99532,Private room,189.0,1,0,27,292,0,oct-dec,Mid-range product
19266,49089771,Lamartine Chelsea 4B,386345949,Lamartine,Manhattan,Chelsea,40.75026,-73.99568,Private room,189.0,1,0,27,216,0,jul-sep,Mid-range product
19267,49089796,Lamartine Chelsea 4C,386345949,Lamartine,Manhattan,Chelsea,40.74895,-73.99528,Private room,222.0,1,0,27,355,0,oct-dec,Mid-range product
19268,49089859,Lamartine Chelsea 4D,386345949,Lamartine,Manhattan,Chelsea,40.75044,-73.99576,Private room,165.0,1,1,27,298,1,oct-dec,Mid-range product
19271,49092035,Lamartine Chelsea 5A,386345949,Lamartine,Manhattan,Chelsea,40.74921,-73.99717,Private room,189.0,1,1,27,335,1,oct-dec,Mid-range product
19272,49092042,Newly Furnished Spacious Studio by Central Park,385129361,Sara M,Manhattan,Upper West Side,40.79629,-73.96353,Entire home/apt,93.0,30,10,32,112,1,apr-jun,Mid-range product
19274,49092077,Lamartine Chelsea 5D,386345949,Lamartine,Manhattan,Chelsea,40.75042,-73.99497,Private room,160.0,1,2,27,302,2,oct-dec,Mid-range product
19275,49092089,Lamartine Chelsea 5E,386345949,Lamartine,Manhattan,Chelsea,40.75043,-73.99544,Private room,160.0,1,0,27,293,0,oct-dec,Mid-range product
19276,49092101,Lamartine Chelsea 4E,386345949,Lamartine,Manhattan,Chelsea,40.7506,-73.99647,Private room,165.0,1,2,27,277,2,oct-dec,Mid-range product
19277,49092125,Lamartine Chelsea 5B,386345949,Lamartine,Manhattan,Chelsea,40.74853,-73.99701,Private room,189.0,1,0,27,294,0,oct-dec,Mid-range product
19278,49094153,Nice and Cozy Studio Apartment in Manhattan,384559808,Best Inns USA,Manhattan,Gramercy,40.73436,-73.98517,Entire home/apt,95.0,30,10,29,296,4,oct-dec,Mid-range product
19279,49099507,626 10th Avenue-4 bedroom 3 full Bathrooms,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.7601,-73.99311,Entire home/apt,300.0,30,3,153,268,1,jul-sep,High range
19280,49099609,"Sun Drenched 2bd Apt near BK Museum, Crown Heights",890215,Duane,Brooklyn,Crown Heights,40.66723,-73.95919,Entire home/apt,237.0,30,119,5,167,17,apr-jun,Mid-range product
19282,49111268,"""Comfortable 4 Bedroom apartment""",305489297,Stavros,Brooklyn,Windsor Terrace,40.65716,-73.98164,Entire home/apt,150.0,30,7,5,235,1,jul-sep,Mid-range product
19283,49113280,Extended Stay Furnished Studio in Union Square NYC,384559808,Best Inns USA,Manhattan,Gramercy,40.73442,-73.98679,Entire home/apt,95.0,30,6,29,199,2,jul-sep,Mid-range product
19284,49113515,TRYP by Wyndham - Sleeps 6 - Midtown /Times Square,38592279,Vk,Manhattan,Hell's Kitchen,40.75279,-73.99365,Private room,469.0,1,46,20,60,3,jan-mar,High range
19285,49113582,Homestead: Home Away from Home,128565429,Marisela,Queens,Springfield Gardens,40.65928,-73.75783,Private room,225.0,30,121,2,338,13,oct-dec,Mid-range product
19286,49114251,😎Bedstuy is fly 😎,278008007,Aeysha B And Blas-Off,Brooklyn,Bushwick,40.68894,-73.91908,Private room,60.0,30,12,5,327,4,oct-dec,Low-range product
19288,49119149,Homestead1: Home away from home,128565429,Marisela,Queens,Springfield Gardens,40.65966,-73.75828,Private room,166.0,30,6,2,338,0,oct-dec,Mid-range product
19294,49125584,"Prime Williamsburg HDTV Room, AC, Rooftop #128",3223938,Eugene,Brooklyn,Williamsburg,40.70949,-73.96586,Private room,47.0,30,0,692,365,0,oct-dec,Low-range product
19295,49125621,Private floor thru 1 bed apartment in Townhouse,209279462,Rodrigo,Manhattan,Harlem,40.82953,-73.94774,Entire home/apt,115.0,30,11,9,126,2,apr-jun,Mid-range product
19297,49126425,Modern Suite at Wyndham Midtown 45!,395131057,Trevor,Manhattan,Midtown,40.75364,-73.97132,Entire home/apt,294.0,3,3,2,165,2,apr-jun,High range
19298,49126896,Cozy Sugar Hill 1 bedroom Apartment,332584554,Tanika,Manhattan,Harlem,40.82838,-73.94435,Entire home/apt,95.0,30,49,1,157,13,apr-jun,Mid-range product
19299,49127236,Modern 3BR/1BA with huge garden in trendy Bed-Stuy,23215098,Erica & David,Brooklyn,Bedford-Stuyvesant,40.68725,-73.95225,Entire home/apt,360.0,30,72,2,159,6,apr-jun,High range
19302,49132815,165 East 89-Studio in Upper East Side,51501835,Jeniffer,Manhattan,Upper East Side,40.78186,-73.95203,Entire home/apt,125.0,30,12,153,365,5,oct-dec,Mid-range product
19304,49136477,The BeachHouse in NYC Staten Island,76940812,Cesar,Staten Island,Midland Beach,40.573452,-74.088165,Entire home/apt,175.0,3,96,1,153,35,apr-jun,Mid-range product
19305,49138581,The Williamsburg private Room by Art & Maria,126503835,Arty,Brooklyn,Williamsburg,40.71755,-73.96409,Private room,163.0,30,25,3,75,4,jan-mar,Mid-range product
19306,49141926,It's a Stunning Day in Bed-Stuy!,395798646,Andrew,Brooklyn,Brownsville,40.67588,-73.90684,Private room,60.0,30,133,2,329,12,oct-dec,Low-range product
19307,49142923,Large Sunny  Apt Near Brooklyn Children Museum.,396369764,Morais,Brooklyn,Crown Heights,40.67153,-73.94392,Entire home/apt,95.0,30,112,3,183,18,jul-sep,Mid-range product
19309,49145365,Jamaica Cozy Spot - JFK 10 mins - Mall 15 mins,74331597,Nickesha,Queens,St. Albans,40.685,-73.76792,Private room,66.0,30,6,2,365,0,oct-dec,Low-range product
19310,49152970,Simple,396461379,Kenny,Manhattan,Washington Heights,40.84962,-73.93075,Private room,70.0,30,1,1,363,0,oct-dec,Low-range product
19311,49157025,"Brooklyn’s Newest Gem! Spacious, Modern apartment.",192747450,Lashanda,Brooklyn,Crown Heights,40.67692,-73.95111,Private room,160.0,30,40,3,153,0,apr-jun,Mid-range product
19312,49157424,"Private, Cozy Room 10 min subway ride to Manhattan",163374912,Larissa,Queens,Sunnyside,40.74055,-73.92595,Private room,63.0,30,58,1,139,8,apr-jun,Low-range product
19313,49158456,Large 1 Bedroom Apt near Times Square/ Midtown,130809111,Janeyjaney,Manhattan,Hell's Kitchen,40.76149,-73.98791,Entire home/apt,368.0,30,20,1,179,3,apr-jun,High range
19316,49169710,Tranquil & Sunny Apartment in the <3 of Brooklyn,354409033,Tiffany,Brooklyn,Boerum Hill,40.68672,-73.98978,Entire home/apt,400.0,30,16,1,89,0,jan-mar,High range
19318,49174756,The President Studio,1515607,Iwona,Brooklyn,Park Slope,40.67721,-73.98318,Entire home/apt,155.0,30,105,1,51,6,jan-mar,Mid-range product
19320,49175978,Cute Furnished Apt Perfect for Students Close NYU,384559808,Best Inns USA,Manhattan,Gramercy,40.73426,-73.98672,Entire home/apt,90.0,30,6,29,207,2,jul-sep,Mid-range product
19322,49177425,"1 bedroom apt in NYC (clean, quiet and central)",32295605,Yana,Manhattan,Upper East Side,40.76298,-73.95947,Entire home/apt,200.0,30,0,2,343,0,oct-dec,Mid-range product
19323,49177819,Modern boutique apartment with historic details,8565572,Tom,Brooklyn,Bedford-Stuyvesant,40.68455,-73.91776,Entire home/apt,159.0,30,101,1,155,18,apr-jun,Mid-range product
19324,49178290,🌛Bedstuy Blas of fun🌜,278008007,Aeysha B And Blas-Off,Brooklyn,Bushwick,40.68832,-73.91896,Private room,40.0,30,6,5,365,3,oct-dec,Low-range product
19325,49179008,Amrita,96741258,Jeremy,Brooklyn,Prospect-Lefferts Gardens,40.66239,-73.9618,Entire home/apt,108.0,30,12,3,139,3,apr-jun,Mid-range product
19327,49190919,Amazing  Apartment above Off-Broadway Theater,396786434,Britt,Manhattan,SoHo,40.72596,-74.00523,Entire home/apt,250.0,30,105,1,75,17,jan-mar,Mid-range product
19328,49193889,Lovely Brownstone Garden Suite with backyard,396808869,Casa,Brooklyn,Bedford-Stuyvesant,40.68536952774767,-73.93766269921002,Entire home/apt,172.0,30,6,3,307,3,oct-dec,Mid-range product
19329,49199952,"10 min walk Central Park, 1BR Midtown at 59 St/3 A",137358866,Kaz,Manhattan,Upper East Side,40.76164,-73.96633,Entire home/apt,201.0,30,12,56,360,4,oct-dec,Mid-range product
19331,49208181,"Bushwick Exposed Brick, 23 min to Manhattan #108",3223938,Eugene,Brooklyn,Bushwick,40.69751,-73.90771,Private room,42.0,30,1,692,365,0,oct-dec,Low-range product
19332,49208965,Modern Brooklyn townhouse 2 BA - Easy Travel,396940563,Peter,Brooklyn,Bay Ridge,40.63607,-74.02389,Entire home/apt,99.0,30,90,3,191,18,jul-sep,Mid-range product
19333,49209163,Room in Duplex Apartment w/ Private Terrace!,346906516,Laura,Manhattan,East Village,40.72121348392093,-73.97944818183454,Private room,146.0,2,19,2,159,12,apr-jun,Mid-range product
