,id,property_title,host_id,host_name,city,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,nr_reviews_past_year,avail_month,price_range
20664,51960731,Magical Dream Getaway- Amazing! Near JFK,420837401,Sandra,Queens,Queens Village,40.70874,-73.73535,Private room,85.0,30,274,3,360,45,oct-dec,Low-range product
20666,51961227,Luxury Studio by Columbus Circle and Central Park,2867137,Avi,Manhattan,Midtown,40.76567,-73.98162,Entire home/apt,155.0,30,0,90,32,0,jan-mar,Mid-range product
20668,51970344,"Work from home delight: bedroom, office, prvt bath",1024891,Leana,Bronx,Hunts Point,40.81752,-73.88919,Private room,70.0,30,15,4,101,4,apr-jun,Low-range product
20669,51977461,HDTV Room 2 block to Prospect Park#77,3223938,Eugene,Brooklyn,Flatbush,40.65223,-73.96163,Private room,24.0,90,0,692,248,0,jul-sep,Low-range product
20670,51978202,10 min. walk to train and 30 min. to Manhattan,102618751,Shawn,Brooklyn,East New York,40.65772,-73.89141,Entire home/apt,946.0,90,17,3,361,1,oct-dec,High range
20672,51980003,Beautiful brownstone garden suite with backyard,3548411,CASA Heidi,Brooklyn,Bedford-Stuyvesant,40.68752,-73.93748,Entire home/apt,165.0,30,5,2,313,0,oct-dec,Mid-range product
20673,51980527,Waterfront Getaway in SOUTH Brooklyn,41835277,Rebekah,Brooklyn,Gerritsen Beach,40.5915,-73.92946,Entire home/apt,300.0,31,0,1,173,0,apr-jun,High range
20674,51980770,Private Room with bonus Backyard and firepit!,36012265,Ada,Brooklyn,Bushwick,40.70434,-73.92804,Private room,67.0,30,4,1,149,0,apr-jun,Low-range product
20675,51980852,Private Beach Bungalow,420297717,Joseph,Queens,Rockaway Beach,40.58773,-73.81234,Entire home/apt,111.0,30,17,5,90,0,apr-jun,Mid-range product
20678,51985589,Incredible studio rental in Manhattan 😍,421007927,Danilo,Manhattan,East Harlem,40.79755,-73.93353,Entire home/apt,120.0,30,6,6,299,1,oct-dec,Mid-range product
20679,51986202,Prime 2BR Apartment in Ridgewood Near Train!,408801405,Andrew,Queens,Ridgewood,40.70674,-73.91393,Entire home/apt,179.0,30,14,4,74,4,jan-mar,Mid-range product
20680,51987241,Brand New Cozy Studio in the heart of Chelsea#6144,113723310,MyNyHousing,Manhattan,Chelsea,40.73976,-74.00003,Entire home/apt,175.0,30,7,59,332,4,oct-dec,Mid-range product
20681,51987334,The Shoppers Haven at Kings Plaza Shopping Mall FP,417850661,Mark,Brooklyn,Mill Basin,40.60997,-73.92248,Entire home/apt,109.0,30,37,2,0,7,jan-mar,Mid-range product
20683,51992365,♥ BEST PRICE ♥ Great Spot ♥ of Flushing | King Bed,212164658,Jason,Queens,Flushing,40.75637,-73.82586,Entire home/apt,195.0,30,129,1,180,7,apr-jun,Mid-range product
20686,52002141,Exclusive Private Studio 1008 | Private Bathroom,401202937,Eliza,Manhattan,Midtown,40.74832,-73.98717,Private room,153.0,1,61,63,134,12,apr-jun,Mid-range product
20687,52002317,Huge Room in the BEST LES Spot,283057520,Michael,Manhattan,Lower East Side,40.71458191203202,-73.98978544072307,Private room,117.0,1,28,12,315,11,oct-dec,Mid-range product
20688,52005507,Private Bath + GYM ~ Near Subway,9372363,Tj And Juliana And Leah,Brooklyn,Midwood,40.61315,-73.95502,Private room,75.0,30,5,2,222,1,jul-sep,Low-range product
20690,52009698,Blue Moon Hotel | Gorgeous King with Balcony,411740512,Historic Blue Moon,Manhattan,Lower East Side,40.71978,-73.99083,Entire home/apt,626.0,1,4,17,365,1,oct-dec,High range
20691,52009700,Luxury Junior Suite +Balcony in Downtown Manhattan,411740512,Historic Blue Moon,Manhattan,Lower East Side,40.7186077,-73.9897804,Entire home/apt,358.0,1,28,17,365,7,oct-dec,High range
20692,52011240,"Retro 3 bedroom clean,safe  area  Astoria heights",97127885,Chetina,Queens,Ditmars Steinway,40.76862,-73.89661,Entire home/apt,65.0,30,10,3,154,4,apr-jun,Low-range product
20693,52013393,Luxury 1 bedroom apartment near JFK,420148935,Nusrat,Queens,Jamaica,40.67344,-73.782,Entire home/apt,109.0,30,208,1,75,18,jan-mar,Mid-range product
20694,52021432,Amazing Fully Furnished Studio in Chelsea #6153,113723310,MyNyHousing,Manhattan,Chelsea,40.74128,-73.99839,Entire home/apt,165.0,30,3,59,308,2,oct-dec,Mid-range product
20695,52025370,Luxurious apartment space,255347418,Ali,Manhattan,Chelsea,40.74698,-73.99055,Entire home/apt,236.0,100,0,1,365,0,oct-dec,Mid-range product
20696,52026028,Henry House • Roomy 1-Bedroom • No4,399865453,Fenix,Brooklyn,Brooklyn Heights,40.69236373901367,-73.99559020996094,Entire home/apt,219.0,30,12,32,246,2,jul-sep,Mid-range product
20697,52031750,Beautiful Furnished Studio in Chelsea #6145,113723310,MyNyHousing,Manhattan,Chelsea,40.74168,-73.99964,Entire home/apt,190.0,30,9,59,334,5,oct-dec,Mid-range product
20698,52039176,Cozy Hotel in the heart of Chelsea,418449940,Chris,Manhattan,Chelsea,40.748581,-73.995651,Private room,189.0,30,145,2,225,9,jul-sep,Mid-range product
